Concurso ;Data;Coluna1 ;Coluna2 ;Coluna3 ;Coluna4 ;Coluna5 ;Coluna6 ;Media;Mediana;Premio_Acum;Sorteio_ Especial ;Classe
1;11/03/1996;4;5;30;33;41;52;27.5;31.5;YES;NO;AADDEF
2;18/03/1996;9;37;39;41;43;49;36.33;40;NO;NO;ADDEEE
3;25/03/1996;10;11;29;30;36;47;27.16;29.5;NO;NO;BBCDDE
4;01/04/1996;1;5;6;27;42;59;23.33;16.5;YES;NO;AAACEF
5;08/04/1996;1;2;6;16;19;46;15;11;YES;NO;AAABBE
6;15/04/1996;7;13;19;22;40;47;24.66;20.5;YES;NO;ABBCEE
7;22/04/1996;3;5;20;21;38;56;23.83;20.5;YES;NO;AACCDF
8;29/04/1996;4;17;37;38;47;53;32.66;37.5;YES;NO;ABDDEF
9;06/05/1996;8;43;54;55;56;60;46;54.5;YES;NO;AEFFFF
10;13/05/1996;4;18;21;25;38;57;27.16;23;YES;NO;ABCCDF
11;20/05/1996;15;25;37;38;58;59;38.66;37.5;NO;NO;BCDDFF
12;27/05/1996;4;16;19;20;27;43;21.5;19.5;YES;NO;ABBCCE
13;03/06/1996;18;32;47;50;54;56;42.83;48.5;YES;NO;BDEFFF
14;10/06/1996;2;16;23;27;47;53;28;25;YES;NO;ABCCEF
15;17/06/1996;12;33;35;51;52;60;40.5;43;YES;NO;BDDFFF
16;24/06/1996;20;32;34;49;58;60;42.16;41.5;YES;NO;CDDEFF
17;01/07/1996;6;10;13;19;20;51;19.83;16;NO;NO;ABBBCF
18;08/07/1996;23;27;36;37;42;56;36.83;36.5;YES;NO;CCDDEF
19;15/07/1996;5;10;12;24;25;60;22.66;18;YES;NO;ABBCCF
20;22/07/1996;11;25;28;30;33;51;29.66;29;YES;NO;BCCDDF
21;29/07/1996;6;33;36;46;49;53;37.16;41;YES;NO;ADDEEF
22;05/08/1996;1;9;31;38;46;56;30.16;34.5;YES;NO;AADDEF
23;12/08/1996;17;37;39;51;52;59;42.5;45;YES;NO;BDDFFF
24;19/08/1996;1;8;14;28;33;43;21.16;21;NO;NO;AABCDE
25;25/08/1996;24;43;50;54;55;56;47;52;YES;NO;CEFFFF
26;01/09/1996;10;22;50;53;57;58;41.66;51.5;YES;NO;BCFFFF
27;08/09/1996;13;17;20;33;44;51;29.66;26.5;YES;NO;BBCDEF
28;15/09/1996;3;6;22;24;54;60;28.16;23;YES;NO;AACCFF
29;22/09/1996;3;8;14;43;56;58;30.33;28.5;NO;NO;AABEFF
30;29/09/1996;7;14;15;29;38;50;25.5;22;YES;NO;ABBCDF
31;06/10/1996;17;19;28;45;48;56;35.5;36.5;YES;NO;BBCEEF
32;13/10/1996;5;14;33;36;43;44;29.16;34.5;YES;NO;ABDDEE
33;20/10/1996;5;17;33;39;42;49;30.83;36;NO;NO;ABDDEE
34;27/10/1996;13;15;17;40;53;57;32.5;28.5;YES;NO;BBBEFF
35;03/11/1996;4;16;21;23;54;57;29.16;22;YES;NO;ABCCFF
36;10/11/1996;3;13;17;25;29;51;23;21;YES;NO;ABBCCF
37;17/11/1996;6;7;22;38;52;60;30.83;30;YES;NO;AACDFF
38;24/11/1996;10;42;43;45;54;55;41.5;44;YES;NO;BEEEFF
39;01/12/1996;12;16;37;45;52;56;36.33;41;YES;NO;BBDEFF
40;08/12/1996;3;5;8;12;46;47;20.16;10;YES;NO;AAABEE
41;15/12/1996;12;26;35;38;39;47;32.83;36.5;NO;NO;BCDDDE
42;22/12/1996;7;11;19;24;33;36;21.66;21.5;YES;NO;ABBCDD
43;29/12/1996;2;6;17;25;26;58;22.33;21;YES;NO;AABCCF
44;05/01/1997;14;18;29;38;44;47;31.66;33.5;YES;NO;BBCDEE
45;12/01/1997;7;30;37;44;53;55;37.66;40.5;YES;NO;ADDEFF
46;19/01/1997;1;23;24;32;46;60;31;28;YES;NO;ACCDEF
47;26/01/1997;3;17;25;35;48;56;30.66;30;YES;NO;ABCDEF
48;02/02/1997;2;5;28;34;47;50;27.66;31;YES;NO;AACDEF
49;09/02/1997;7;13;33;35;43;55;31;34;NO;NO;ABDDEF
50;16/02/1997;6;16;21;44;57;58;33.66;32.5;YES;NO;ABCEFF
51;23/02/1997;17;23;24;25;42;47;29.66;24.5;YES;NO;BCCCEE
52;02/03/1997;15;30;38;46;58;59;41;42;YES;NO;BDDEFF
53;09/03/1997;3;13;16;38;42;46;26.33;27;YES;NO;ABBDEE
54;16/03/1997;5;9;18;21;36;56;24.16;19.5;NO;NO;AABCDF
55;23/03/1997;2;14;23;29;38;52;26.33;26;YES;NO;ABCCDF
56;30/03/1997;2;7;20;35;51;59;29;27.5;YES;NO;AACDFF
57;06/04/1997;7;16;17;27;34;59;26.66;22;YES;NO;ABBCDF
58;13/04/1997;12;27;30;37;44;49;33.16;33.5;NO;NO;BCDDEE
59;20/04/1997;2;8;13;28;34;54;23.16;20.5;YES;NO;AABCDF
60;27/04/1997;3;14;15;20;21;38;18.5;17.5;YES;NO;ABBCCD
61;04/05/1997;8;18;29;42;44;59;33.33;35.5;YES;NO;ABCEEF
62;11/05/1997;6;8;13;24;31;52;22.33;18.5;YES;NO;AABCDF
63;18/05/1997;9;25;26;40;41;49;31.66;33;NO;NO;ACCEEE
64;25/05/1997;8;12;23;50;54;60;34.5;36.5;YES;NO;ABCFFF
65;01/06/1997;1;5;20;25;32;34;19.5;22.5;YES;NO;AACCDD
66;08/06/1997;12;13;15;26;33;48;24.5;20.5;YES;NO;BBBCDE
67;15/06/1997;12;14;17;27;47;52;28.16;22;YES;NO;BBBCEF
68;22/06/1997;1;3;12;13;53;59;23.5;12.5;YES;NO;AABBFF
69;29/06/1997;25;34;45;53;56;58;45.16;49;YES;NO;CDEFFF
70;06/07/1997;17;23;27;40;43;58;34.66;33.5;YES;NO;BCCEEF
71;13/07/1997;16;27;33;43;45;53;36.16;38;YES;NO;BCDEEF
72;20/07/1997;1;19;34;43;44;48;31.5;38.5;YES;NO;ABDEEE
73;27/07/1997;25;26;28;45;51;57;38.66;36.5;NO;NO;CCCEFF
74;03/08/1997;2;24;34;37;38;50;30.83;35.5;YES;NO;ACDDDF
75;10/08/1997;21;24;35;36;37;49;33.66;35.5;YES;NO;CCDDDE
76;17/08/1997;8;17;18;23;33;53;25.33;20.5;YES;NO;ABBCDF
77;24/08/1997;21;29;40;49;54;57;41.66;44.5;YES;NO;CCEEFF
78;31/08/1997;12;22;25;31;32;46;28;28;YES;NO;BCCDDE
79;07/09/1997;2;13;17;25;31;43;21.83;21;NO;NO;ABBCDE
80;14/09/1997;23;28;37;40;48;51;37.83;38.5;YES;NO;CCDEEF
81;21/09/1997;10;23;41;47;54;60;39.16;44;YES;NO;BCEEFF
